                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.3939,                 1.2486,                 1.6531,                0.57344,                0.61116,                0.61582,                 0.3491,                 1.4816,                 1.4069,                 1.8357,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.3719,                 1.2336,                 1.6373,                0.61441,                0.60533,                0.62385,                 0.3493,                 1.4958,                 1.3822,                  1.833,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.3695,                 1.2163,                 1.6164,                0.60843,                0.59784,                0.63381,                0.35991,                 1.4716,                 1.3694,                 1.8175,              0.0095347,              0.0095347,              0.0095347
                     49,                  1.374,                 1.2204,                 1.6277,                0.58266,                0.60533,                0.61014,                0.33813,                 1.5063,                 1.4191,                 1.8452,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.3557,                 1.2118,                 1.6202,                 0.6017,                0.61366,                0.62453,                0.34842,                 1.5164,                 1.3587,                 1.8455,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.3496,                 1.2058,                 1.6014,                0.61928,                0.61116,                0.63842,                0.35848,                 1.4643,                 1.3535,                    1.8,               0.009505,               0.009505,               0.009505
                     52,                 1.3552,                 1.1909,                 1.6089,                0.63003,                 0.6045,                0.65006,                 0.3669,                 1.4586,                 1.3483,                 1.8142,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.3408,                 1.1792,                 1.6154,                   0.63,                0.61246,                0.64554,                0.36594,                 1.4951,                 1.3504,                 1.8417,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.3354,                 1.1634,                 1.5886,                0.61953,                0.61865,                0.64565,                0.36131,                 1.4802,                 1.3717,                 1.8233,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.3147,                 1.1458,                 1.5833,                0.62683,                0.62531,                0.64471,                0.36702,                 1.4464,                 1.3352,                 1.7994,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.3041,                  1.154,                 1.5727,                0.66559,                0.61532,                0.66665,                0.37086,                  1.487,                 1.3198,                 1.8315,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.3183,                 1.1593,                 1.5903,                0.62193,                0.60266,                0.64028,                0.36009,                 1.4901,                 1.3426,                 1.8352,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.3185,                  1.147,                 1.5746,                0.62093,                0.62365,                0.65129,                0.35907,                 1.4985,                  1.334,                 1.8344,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.3105,                  1.134,                 1.5661,                0.59606,                0.61948,                0.63565,                0.35665,                 1.4663,                 1.3544,                 1.8045,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.2853,                 1.1228,                 1.5587,                0.56273,                0.59686,                0.58218,                0.31572,                 1.5658,                 1.4713,                 1.8942,              0.0094159,              0.0094159,              0.0094159
                     61,                  1.306,                 1.1286,                 1.5793,                0.61995,                0.62614,                0.64563,                0.35993,                 1.4977,                 1.3419,                 1.8406,               0.009406,               0.009406,               0.009406
                     62,                 1.2865,                 1.1206,                 1.5454,                0.62462,                0.62209,                0.64362,                0.36757,                 1.4966,                 1.3631,                 1.8395,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.2817,                 1.1047,                 1.5458,                 0.6592,                0.58625,                0.65769,                0.36996,                 1.4919,                 1.3283,                 1.8377,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.2891,                 1.1079,                 1.5526,                0.60149,                0.62333,                0.64627,                0.36798,                 1.4798,                 1.3306,                 1.8331,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.2841,                 1.0978,                  1.542,                 0.6196,                 0.6428,                0.66415,                0.37201,                 1.5035,                 1.3019,                 1.8354,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.2808,                 1.0917,                  1.547,                 0.6323,                0.61281,                0.64819,                0.36116,                 1.4837,                 1.3227,                 1.8371,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.2575,                 1.0841,                 1.5282,                   0.65,                0.61234,                0.64507,                0.35864,                 1.5038,                 1.3284,                 1.8644,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.2523,                 1.0559,                  1.531,                0.63026,                0.58201,                0.62127,                0.34613,                 1.5403,                 1.3728,                 1.8902,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.2568,                 1.0649,                 1.5181,                0.67705,                0.60949,                0.66854,                 0.3786,                 1.4778,                 1.2872,                 1.8204,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.2522,                 1.0509,                 1.5158,                0.62207,                 0.6181,                0.65368,                0.36364,                 1.4784,                 1.3247,                 1.8357,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.2584,                  1.062,                 1.5274,                0.64427,                0.60033,                0.63147,                0.35536,                  1.478,                 1.3315,                 1.8091,               0.009307,               0.009307,               0.009307
                     72,                 1.2393,                 1.0392,                 1.5033,                0.63785,                0.62032,                0.65476,                0.36977,                 1.4703,                  1.307,                 1.8342,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.2359,                 1.0382,                 1.5001,                0.64267,                0.64446,                 0.6617,                0.36881,                  1.476,                 1.3062,                 1.8422,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.2389,                 1.0228,                 1.5029,                 0.6465,                0.62198,                0.66465,                0.38095,                 1.4416,                 1.2873,                 1.7851,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.2232,                 1.0214,                 1.4934,                0.64531,                0.63172,                0.65815,                0.36804,                 1.4755,                 1.2821,                 1.8246,              0.0092674,              0.0092674,              0.0092674
