                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.2144,                 1.0228,                 1.5043,                0.61632,                0.64363,                0.65697,                 0.3703,                 1.5154,                 1.2851,                 1.8734,               0.009109,               0.009109,               0.009109
                     92,                 1.2185,                 1.0191,                 1.5011,                0.62636,                0.64346,                0.65053,                0.35823,                 1.5142,                 1.3121,                  1.893,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.2215,                 1.0022,                 1.5054,                0.67102,                0.61651,                0.65714,                0.37018,                 1.5144,                 1.3352,                 1.8424,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.2181,                 1.0299,                 1.5069,                 0.6521,                0.62116,                0.65125,                0.36422,                 1.4795,                 1.2834,                 1.8503,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.2118,                 1.0087,                 1.4876,                0.67583,                0.60533,                0.66227,                0.37448,                 1.4852,                 1.2784,                 1.8453,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.2195,                 1.0067,                 1.4909,                 0.6223,                0.63655,                0.65711,                0.36774,                 1.4878,                 1.2846,                 1.8519,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.1865,                0.97435,                 1.4759,                 0.6897,                  0.602,                0.67034,                0.37775,                 1.5122,                 1.2874,                 1.8854,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.1991,                0.98803,                 1.4794,                0.64734,                0.64651,                0.66825,                0.37941,                 1.4586,                 1.2555,                 1.8283,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.1882,                0.97057,                  1.462,                0.63834,                0.64779,                0.67325,                0.37886,                 1.5106,                 1.2418,                 1.8889,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.1963,                0.98025,                 1.4753,                0.63477,                0.60866,                0.65277,                0.36175,                 1.5034,                 1.3019,                 1.8732,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.1775,                0.96952,                 1.4616,                 0.6654,                0.58617,                0.65563,                0.37248,                 1.4947,                 1.2919,                 1.8729,                0.00901,                0.00901,                0.00901
                    102,                 1.1799,                0.96139,                 1.4764,                 0.6245,                0.63145,                0.63981,                0.35599,                 1.5096,                 1.3229,                 1.9157,              0.0090001,              0.0090001,              0.0090001
